Time,Mach,Alpha_D,Altitude,Latitude,Longitude
1,1.534444426,2.102935222,50021.25556,33.00064824,-97.00485587
2.01667,1.533365426,1.923799088,50041.59271,33.00124645,-97.00951711
3.01667,1.532135211,1.923205517,50064.6672,33.00180778,-97.01410699
4.01667,1.531232342,1.911935416,50091.45156,33.00235703,-97.01871181
5.01667,1.529731606,3.201620257,50126.6629,33.00289486,-97.02330313
6.01667,1.527670592,3.335255204,50174.98412,33.00343451,-97.02788906
7.01667,1.525927359,1.786029202,50237.23461,33.00396651,-97.03247164
8.01667,1.524861292,-0.9495900863,50298.70275,33.00449276,-97.03705333
9,1.524382219,-1.445610523,50341.90295,33.00501042,-97.04155959
10,1.524363684,-0.1834218226,50362.20862,33.00553804,-97.04614491
11,1.524365823,1.414111062,50367.0053,33.00606495,-97.05073278
12,1.524178398,2.229848853,50368.64909,33.00658941,-97.05532287
13,1.524011742,2.225761517,50374.78792,33.00711126,-97.05991513
14,1.523935857,1.864325015,50386.60429,33.00763193,-97.0645093
15,1.523937641,1.535589488,50401.62817,33.00815038,-97.06910579
16,1.524005916,1.445484317,50417.27667,33.0086679,-97.07370455
17,1.524067615,1.513683193,50432.46685,33.0091844,-97.07830572
18,1.52413126,1.588080471,50447.38093,33.00969993,-97.0829093
19,1.524162542,1.644353756,50462.66338,33.01021519,-97.08751507
20,1.524221187,1.046811651,50477.55023,33.01072977,-97.09212324
21,1.524618518,-0.03848559751,50486.19293,33.01124456,-97.09673431
22,1.525144157,0.4873310247,50484.0002,33.01175973,-97.10134866
23.0167,1.525600088,1.466513453,50472.68152,33.01228375,-97.10604323
24.0167,1.525900127,2.032169518,50459.70919,33.01279968,-97.11066385
25.0167,1.526130707,2.057816953,50449.97207,33.01331629,-97.11528731
26.0167,1.526380189,1.806532199,50444.41559,33.0138337,-97.11991349
27.0167,1.526669782,1.571162776,50441.42534,33.01435204,-97.12454236
28.0167,1.526980976,1.479625263,50439.10482,33.01487147,-97.12917389
29.0167,1.527289868,1.504525144,50436.51967,33.01539215,-97.13380807
30.0167,1.527582134,1.562645671,50433.69808,33.01591427,-97.13844485
31.0167,1.527856205,1.595763949,50431.04998,33.01643794,-97.14308414
32.0167,1.528116872,1.593005146,50428.86926,33.01696332,-97.14772588
33.0167,1.528368609,1.571995582,50427.18118,33.01749052,-97.15237001
34.0167,1.528612601,1.552684529,50425.8422,33.01801963,-97.15701645
35.0167,1.528847518,1.54375849,50424.69496,33.01855077,-97.16166517
36.0167,1.529071235,1.543240023,50423.65295,33.01908401,-97.16631611
37.0167,1.529282309,1.545357687,50422.69963,33.01961943,-97.17096921
38.0167,1.529480476,1.546075873,50421.84779,33.02015711,-97.17562442
39.0167,1.529666085,1.544590566,50421.10503,33.02069709,-97.18028167
40.0167,1.529839656,1.542031631,50420.46269,33.02123943,-97.18494093
41.0167,1.530001495,1.539735986,50419.90213,33.02178416,-97.18960214
42.0167,1.530151837,1.538275994,50419.40508,33.0223313,-97.19426526
43.0167,1.530290845,1.537508839,50418.95921,33.02288088,-97.19893025
44.0167,1.53041904,1.537014062,50418.55794,33.02343292,-97.20359706
45.0167,1.530536822,1.536523295,50418.19755,33.02398744,-97.20826567
46.0167,1.530644735,1.535930451,50417.87456,33.02454444,-97.21293603
47.0167,1.530743095,1.535331157,50417.58496,33.02510394,-97.21760811
48.0167,1.530832391,1.534800975,50417.32447,33.02566592,-97.22228188
49.0167,1.530913062,1.534372727,50417.08929,33.02623037,-97.22695732
50.0167,1.530986708,1.533966256,50416.87608,33.02679729,-97.2316344
51.0167,1.531050708,1.533809512,50416.68282,33.02736664,-97.2363131
52.0167,1.531108518,1.533466271,50416.50792,33.02793841,-97.24099341
53.0167,1.531159624,1.533144447,50416.34952,33.02851256,-97.24567531
54.0167,1.531204584,1.53289658,50416.20556,33.02908908,-97.25035878
55.0167,1.531244003,1.532701099,50416.07444,33.02966793,-97.25504381
56.0167,1.531278252,1.532529662,50415.95496,33.03024909,-97.25973039
57.0167,1.531307711,1.532363995,50415.84609,33.03083251,-97.26441852
58.0167,1.53133276,1.532207259,50415.74686,33.03141817,-97.26910818
59.0167,1.531353777,1.532062075,50415.65636,33.03200601,-97.27379938
60.0167,1.531371031,1.531932979,50415.57375,33.03259601,-97.27849211
61.0167,1.531384979,1.531812736,50415.49831,33.0331881,-97.28318637
62.0167,1.531395974,1.531701968,50415.42939,33.03378226,-97.28788216
63.0167,1.531404417,1.531600284,50415.36638,33.03437843,-97.29257949
64.0167,1.531410531,1.531510948,50415.30875,33.03497659,-97.29727835
65.0167,1.531414688,1.531430606,50415.256,33.0355767,-97.30197875
66.0167,1.531417083,1.531359918,50415.20767,33.03617871,-97.30668068
67.0167,1.531417939,1.531297885,50415.16336,33.03678258,-97.31138416
68.0167,1.531417293,1.531243053,50415.12272,33.03738828,-97.31608919
69.0167,1.531415422,1.53119178,50415.08544,33.03799576,-97.32079577
70.0167,1.531412434,1.531143266,50415.05126,33.03860498,-97.32550392
71.025,1.531408524,1.531095855,50415.0199,33.03921591,-97.33021363
72.0167,1.531403972,1.531052835,50414.99113,33.0398285,-97.33492492
73.0167,1.531398912,1.531017971,50414.96472,33.04044273,-97.33963779
74.0167,1.531393484,1.530983333,50414.94046,33.04105856,-97.34435224
75.0167,1.531387759,1.530952749,50414.91816,33.04167598,-97.34906828
76.0167,1.53136156,1.652052276,50415.09286,33.04229495,-97.35378589
77.0167,1.530807229,4.108836306,50425.10366,33.0429153,-97.35850296
78.0167,1.529702408,3.490357795,50451.59717,33.04353731,-97.36321924
79.0167,1.528747278,1.837392459,50494.03717,33.04416032,-97.36793326
80.0167,1.528354814,0.8374005792,50540.95593,33.04478433,-97.37264588
81.0167,1.528228458,0.8316673212,50583.677,33.04540934,-97.37735841
82.0167,1.528106089,1.306796677,50620.7617,33.04603531,-97.38207105
83.0167,1.527967207,1.692178616,50655.17082,33.04666228,-97.38678358
